,gdp_growth,inflation,unemployment,remittances_pct_gdp,forex_reserves_months,gross_investment_gdp,consumption_growth,exports_pct_gdp,imports_pct_gdp,india_gdp_growth,india_inflation,distress,gdp_growth_lag1,gdp_growth_lag2,gdp_growth_lag3,inflation_lag1,inflation_lag2,inflation_lag3,unemployment_lag1,unemployment_lag2,unemployment_lag3,remittances_pct_gdp_lag1,remittances_pct_gdp_lag2,remittances_pct_gdp_lag3,forex_reserves_months_lag1,forex_reserves_months_lag2,forex_reserves_months_lag3,gross_investment_gdp_lag1,gross_investment_gdp_lag2,gross_investment_gdp_lag3,consumption_growth_lag1,consumption_growth_lag2,consumption_growth_lag3,exports_pct_gdp_lag1,exports_pct_gdp_lag2,exports_pct_gdp_lag3,imports_pct_gdp_lag1,imports_pct_gdp_lag2,imports_pct_gdp_lag3,india_gdp_growth_lag1,india_gdp_growth_lag2,india_gdp_growth_lag3,india_inflation_lag1,india_inflation_lag2,india_inflation_lag3,gdp_growth_roll3_mean,gdp_growth_roll3_std,gdp_growth_roll5_mean,gdp_growth_roll5_std,inflation_roll3_mean,inflation_roll3_std,inflation_roll5_mean,inflation_roll5_std,unemployment_roll3_mean,unemployment_roll3_std,unemployment_roll5_mean,unemployment_roll5_std,remittances_pct_gdp_roll3_mean,remittances_pct_gdp_roll3_std,remittances_pct_gdp_roll5_mean,remittances_pct_gdp_roll5_std,forex_reserves_months_roll3_mean,forex_reserves_months_roll3_std,forex_reserves_months_roll5_mean,forex_reserves_months_roll5_std,gross_investment_gdp_roll3_mean,gross_investment_gdp_roll3_std,gross_investment_gdp_roll5_mean,gross_investment_gdp_roll5_std,consumption_growth_roll3_mean,consumption_growth_roll3_std,consumption_growth_roll5_mean,consumption_growth_roll5_std,exports_pct_gdp_roll3_mean,exports_pct_gdp_roll3_std,exports_pct_gdp_roll5_mean,exports_pct_gdp_roll5_std,imports_pct_gdp_roll3_mean,imports_pct_gdp_roll3_std,imports_pct_gdp_roll5_mean,imports_pct_gdp_roll5_std,india_gdp_growth_roll3_mean,india_gdp_growth_roll3_std,india_gdp_growth_roll5_mean,india_gdp_growth_roll5_std,india_inflation_roll3_mean,india_inflation_roll3_std,india_inflation_roll5_mean,india_inflation_roll5_std,gdp_growth_chg1,gdp_growth_chg3,inflation_chg1,inflation_chg3,unemployment_chg1,unemployment_chg3,remittances_pct_gdp_chg1,remittances_pct_gdp_chg3,forex_reserves_months_chg1,forex_reserves_months_chg3,gross_investment_gdp_chg1,gross_investment_gdp_chg3,consumption_growth_chg1,consumption_growth_chg3,exports_pct_gdp_chg1,exports_pct_gdp_chg3,imports_pct_gdp_chg1,imports_pct_gdp_chg3,india_gdp_growth_chg1,india_gdp_growth_chg3,india_inflation_chg1,india_inflation_chg3,remittance_shock,forex_danger,forex_rapid_decline,india_nepal_gdp_gap,gulf_instability,stress_index
1996-01-01,6.19999998192236,2.47882020709136,10.446,0.976652460897553,4.25722590527228,27.2050877214127,3.54872711717044,22.8175751366943,35.6401935616059,3.84099115659129,4.0094359104519,0,6.19999998192236,6.19999998192236,6.19999998192236,2.47882020709136,2.47882020709136,2.47882020709136,10.446,10.446,10.446,1.29110017723861,1.29110017723861,1.29110017723861,4.66944397920879,4.66944397920879,4.66944397920879,25.1994981179423,25.1994981179423,25.1994981179423,3.54872711717044,3.54872711717044,3.54872711717044,24.9731589825482,24.9731589825482,24.9731589825482,34.5173594159918,34.5173594159918,34.5173594159918,3.84099115659129,3.84099115659129,3.84099115659129,4.0094359104519,4.0094359104519,4.0094359104519,6.19999998192236,0.0,6.19999998192236,0.0,2.47882020709136,0.0,2.47882020709136,0.0,10.446,0.0,10.446,0.0,1.1338763190680814,0.2223481125533853,1.1338763190680814,0.2223481125533853,4.463334942240535,0.2914821954081635,4.463334942240535,0.2914821954081635,26.2022929196775,1.4181660088911572,26.2022929196775,1.4181660088911572,3.54872711717044,0.0,3.54872711717044,0.0,23.89536705962125,1.524227954819472,23.89536705962125,1.524227954819472,35.07877648879885,0.7939636385115306,35.07877648879885,0.7939636385115306,3.84099115659129,0.0,3.84099115659129,0.0,4.0094359104519,0.0,4.0094359104519,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,-0.31444771634105695,0.09896072975312009,-0.41221807393650955,1.9001706443732003,2.0055896034703977,-0.36012900760310274,0.0,0.0,-2.1555838458539007,-2.151107760157899,1.1228341456140996,-0.6298093486813983,0.0,0.0,0.0,0.0,0,1,0,-2.3590088253310704,0,0.426549964819706
1997-01-01,6.19999998192236,2.47882020709136,10.512,1.00551241513623,4.13729042628426,25.3407150470745,3.54872711717044,26.3278350735973,37.7076998213986,3.84099115659129,4.0094359104519,0,6.19999998192236,6.19999998192236,6.19999998192236,2.47882020709136,2.47882020709136,2.47882020709136,10.446,10.446,10.446,0.976652460897553,1.29110017723861,1.29110017723861,4.25722590527228,4.66944397920879,4.66944397920879,27.2050877214127,25.1994981179423,25.1994981179423,3.54872711717044,3.54872711717044,3.54872711717044,22.8175751366943,24.9731589825482,24.9731589825482,35.6401935616059,34.5173594159918,34.5173594159918,3.84099115659129,3.84099115659129,3.84099115659129,4.0094359104519,4.0094359104519,4.0094359104519,6.19999998192236,0.0,6.19999998192236,0.0,2.47882020709136,0.0,2.47882020709136,0.0,10.468,0.03810511776651572,10.468,0.03810511776651572,1.0910883510907976,0.17381533933718749,1.0910883510907976,0.17381533933718749,4.354653436921777,0.2791342757796603,4.354653436921777,0.2791342757796603,25.915100295476503,1.119391006116052,25.915100295476503,1.119391006116052,3.54872711717044,0.0,3.54872711717044,0.0,24.7061897309466,1.770292530101198,24.7061897309466,1.770292530101198,35.9550842663321,1.6183124211767705,35.9550842663321,1.6183124211767705,3.84099115659129,0.0,3.84099115659129,0.0,4.0094359104519,0.0,4.0094359104519,0.0,0.0,0.0,0.0,0.0,0.06600000000000072,0.08000000000000007,0.028859954238677044,0.09896072975312009,-0.1199354789880207,1.9001706443732003,-1.864372674338199,-0.36012900760310274,0.0,0.0,3.510259936903001,-2.151107760157899,2.067506259792701,-0.6298093486813983,0.0,0.0,0.0,0.0,0,1,0,-2.3590088253310704,0,0.4323967871770954
1998-01-01,6.19999998192236,2.47882020709136,10.526,1.39006090699173,6.56961462358199,24.8393691103392,3.54872711717044,22.8220512223903,33.8875500673104,3.84099115659129,4.0094359104519,0,6.19999998192236,6.19999998192236,6.19999998192236,2.47882020709136,2.47882020709136,2.47882020709136,10.512,10.446,10.446,1.00551241513623,0.976652460897553,1.29110017723861,4.13729042628426,4.25722590527228,4.66944397920879,25.3407150470745,27.2050877214127,25.1994981179423,3.54872711717044,3.54872711717044,3.54872711717044,26.3278350735973,22.8175751366943,24.9731589825482,37.7076998213986,35.6401935616059,34.5173594159918,3.84099115659129,3.84099115659129,3.84099115659129,4.0094359104519,4.0094359104519,4.0094359104519,6.19999998192236,0.0,6.19999998192236,0.0,2.47882020709136,0.0,2.47882020709136,0.0,10.494666666666665,0.042723919920033084,10.4825,0.04253234063627367,1.1240752610085043,0.23080185688486135,1.1658314900660307,0.20612454670599473,4.988043651712843,1.3709927731663498,4.90839373358683,1.130688828640678,25.795057292942133,1.2465858550376359,25.646167499192174,1.0604984105213122,3.54872711717044,0.0,3.54872711717044,0.0,23.989153810893967,2.0253586213867245,24.235155103807525,1.725336172444158,35.745147816771635,1.9122362779408486,35.438200716576674,1.6776862473024436,3.84099115659129,0.0,3.84099115659129,0.0,4.0094359104519,0.0,4.0094359104519,0.0,0.0,0.0,0.0,0.0,0.013999999999999346,0.08000000000000007,0.3845484918555,0.09896072975312009,2.4323241972977305,1.9001706443732003,-0.5013459367353015,-0.36012900760310274,0.0,0.0,-3.505783851206999,-2.151107760157899,-3.820149754088199,-0.6298093486813983,0.0,0.0,0.0,0.0,0,0,0,-2.3590088253310704,0,0.3882111285748744
1999-01-01,6.19999998192236,2.47882020709136,10.549,1.65809912429702,6.15144721774418,20.4835163550036,3.54872711717044,22.8484720906571,29.7185091627782,3.84099115659129,4.0094359104519,0,6.19999998192236,6.19999998192236,6.19999998192236,2.47882020709136,2.47882020709136,2.47882020709136,10.526,10.512,10.446,1.39006090699173,1.00551241513623,0.976652460897553,6.56961462358199,4.13729042628426,4.25722590527228,24.8393691103392,25.3407150470745,27.2050877214127,3.54872711717044,3.54872711717044,3.54872711717044,22.8220512223903,26.3278350735973,22.8175751366943,33.8875500673104,37.7076998213986,35.6401935616059,3.84099115659129,3.84099115659129,3.84099115659129,4.0094359104519,4.0094359104519,4.0094359104519,6.19999998192236,0.0,6.19999998192236,0.0,2.47882020709136,0.0,2.47882020709136,0.0,10.529,0.018681541692273814,10.4958,0.04734131388121809,1.3512241488083268,0.3280222150754038,1.2642850169122286,0.28342720636583013,5.619450755870143,1.3005058349637961,5.1570044304183,1.1260014712711375,23.5545335041391,2.671366070905197,24.61363727035446,2.484770819684783,3.54872711717044,0.0,3.54872711717044,0.0,23.999452795548233,2.016481475273133,23.95781850117744,1.6177659400389726,33.7712530171624,3.995864812259257,34.29426240581698,2.941759278460686,3.84099115659129,0.0,3.84099115659129,0.0,4.0094359104519,0.0,4.0094359104519,0.0,0.0,0.0,0.0,0.0,0.022999999999999687,0.10299999999999976,0.26803821730529,0.681446663399467,-0.41816740583781,1.8942213124718998,-4.355852755335597,-6.721571366409098,0.0,0.0,0.026420868266800568,0.030896953962802343,-4.169040904532199,-5.921684398827697,0.0,0.0,0.0,0.0,0,0,0,-2.3590088253310704,0,0.3960194763854288
2000-01-01,6.19999998192236,2.47882020709136,10.531,2.02936064424625,6.49127474402048,24.3148663462349,3.54872711717044,23.2840037102623,32.4265852938696,3.84099115659129,4.0094359104519,0,6.19999998192236,6.19999998192236,6.19999998192236,2.47882020709136,2.47882020709136,2.47882020709136,10.549,10.526,10.512,1.65809912429702,1.39006090699173,1.00551241513623,6.15144721774418,6.56961462358199,4.13729042628426,20.4835163550036,24.8393691103392,25.3407150470745,3.54872711717044,3.54872711717044,3.54872711717044,22.8484720906571,22.8220512223903,26.3278350735973,29.7185091627782,33.8875500673104,37.7076998213986,3.84099115659129,3.84099115659129,3.84099115659129,4.0094359104519,4.0094359104519,4.0094359104519,6.19999998192236,0.0,6.19999998192236,0.0,2.47882020709136,0.0,2.47882020709136,0.0,10.535333333333334,0.012096831541091157,10.5128,0.03961943967296934,1.6925068918450001,0.32103576025756286,1.4119371103137568,0.4463574477146385,6.404112195115549,0.2222925488516892,5.521370583380638,1.2196583396870444,23.212583937192566,2.377947263608737,24.43671091601298,2.4640343221781644,3.54872711717044,0.0,3.54872711717044,0.0,22.98484234110323,0.2594179237597822,23.61998744672026,1.5265260822835847,32.01088150798606,2.115380047205253,33.87610758139254,3.048768966412269,3.84099115659129,0.0,3.84099115659129,0.0,4.0094359104519,0.0,4.0094359104519,0.0,0.0,0.0,0.0,0.0,-0.017999999999998906,0.019000000000000128,0.3712615199492302,1.0238482291100202,0.33982752627629953,2.35398431773622,3.831349991231299,-1.0258487008395996,0.0,0.0,0.43553161960520015,-3.0438313633349985,2.708076131091399,-5.281114527528999,0.0,0.0,0.0,0.0,0,0,0,-2.3590088253310704,0,0.387503328277811
2001-01-01,4.79989214255407,2.6883037354563,10.502,2.4468753962689,7.36659055227129,22.3430462169922,3.54872711717044,22.5607737189466,33.239147361424,4.82396626555771,3.77929312235637,0,6.19999998192236,6.19999998192236,6.19999998192236,2.47882020709136,2.47882020709136,2.47882020709136,10.531,10.549,10.526,2.02936064424625,1.65809912429702,1.39006090699173,6.49127474402048,6.15144721774418,6.56961462358199,24.3148663462349,20.4835163550036,24.8393691103392,3.54872711717044,3.54872711717044,3.54872711717044,23.2840037102623,22.8484720906571,22.8220512223903,32.4265852938696,29.7185091627782,33.8875500673104,3.84099115659129,3.84099115659129,3.84099115659129,4.0094359104519,4.0094359104519,4.0094359104519,5.733297368799597,0.8083526379537878,5.919978414048702,0.6261472609315709,2.5486480498796733,0.1209453714922909,2.520716912764348,0.09368388191810241,10.527333333333333,0.0237135685491136,10.524,0.018069310999594756,2.0447783882707236,0.3946140924112659,1.705981697388026,0.5581785821538882,6.669770838011982,0.6269282036557927,6.1432435127804395,1.2065872458171336,22.3804763060769,1.915949228842887,23.46430261512888,2.0172687463868786,3.54872711717044,0.0,3.54872711717044,0.0,22.897749839955335,0.36412446706661855,23.56862716317072,1.5641296566908867,31.7947472726906,1.8434038611211994,33.39589834135616,2.8862035291793604,4.168649526246763,0.5675209437684642,4.037586178384574,0.43959983276783543,3.93272164775339,0.13287300065900556,3.9634073528327947,0.10292298374258707,-1.4001078393682906,-1.4001078393682906,0.20948352836494033,0.20948352836494033,-0.028999999999999915,-0.023999999999999133,0.41751475202264965,1.0568144892771698,0.8753158082508099,0.7969759286892995,-1.9718201292427011,-2.496322893346999,0.0,0.0,-0.7232299913157014,-0.2612775034437007,0.8125620675544027,-0.6484027058863973,0.9829751089664196,0.9829751089664196,-0.23014278809553046,-0.23014278809553046,0,0,0,0.02407412300363987,0,0.41035571715765196
2002-01-01,0.120143177369414,3.02939948714892,10.593,11.2130196297909,7.40748968632564,20.2462111730944,3.54872711717044,17.7371295242283,28.4935889762169,3.80397532112175,4.29715203929563,1,4.79989214255407,6.19999998192236,6.19999998192236,2.6883037354563,2.47882020709136,2.47882020709136,10.502,10.531,10.549,2.4468753962689,2.02936064424625,1.65809912429702,7.36659055227129,6.49127474402048,6.15144721774418,22.3430462169922,24.3148663462349,20.4835163550036,3.54872711717044,3.54872711717044,3.54872711717044,22.5607737189466,23.2840037102623,22.8484720906571,33.239147361424,32.4265852938696,29.7185091627782,4.82396626555771,3.84099115659129,3.84099115659129,3.77929312235637,4.0094359104519,4.0094359104519,3.7066784339486145,3.183944385582034,4.704007053138113,2.6332008331528267,2.7321744765655267,0.2778990236601776,2.6308327687758597,0.24056277649269978,10.542,0.04648655719667978,10.540200000000002,0.033951435904834945,5.229751890102016,5.1858653352782325,3.74748314031896,4.192276399631369,7.08845166087247,0.5175745234333217,6.797283364788716,0.5610350009356333,22.30137457877383,2.0346476657039547,22.44540184033286,2.1167125307143753,3.54872711717044,0.0,3.54872711717044,0.0,21.193968984479067,3.0154717202362735,21.85048605329692,2.3140385900303335,31.38644054383683,2.53801239607255,31.553076172319823,2.333544547580272,4.156310914423583,0.5785026308863274,4.030183011290665,0.44402771521046513,4.028627024034633,0.2594623066917137,4.02095057860154,0.1837684247879818,-4.679748965184656,-6.079856804552946,0.34109575169261985,0.5505792800575602,0.0909999999999993,0.04400000000000048,8.766144233521999,9.554920505493879,0.040899134054350306,1.2560424685814597,-2.096835043897798,-0.2373051819091998,0.0,0.0,-4.823644194718298,-5.1113425664287995,-4.745558385207104,-1.2249201865613024,-1.0199909444359596,-0.037015835469540015,0.5178589169392604,0.28771612884373,0,0,0,3.683832143752336,0,0.5134364098617537
2003-01-01,3.94503776051116,5.70700931874738,10.644,12.1803238824978,7.71309551906274,21.4093789298114,3.1594058668453,15.6998644945158,28.5480191211037,7.8603814759073,3.80585899528851,0,0.120143177369414,4.79989214255407,6.19999998192236,3.02939948714892,2.6883037354563,2.47882020709136,10.593,10.502,10.531,11.2130196297909,2.4468753962689,2.02936064424625,7.40748968632564,7.36659055227129,6.49127474402048,20.2462111730944,22.3430462169922,24.3148663462349,3.54872711717044,3.54872711717044,3.54872711717044,17.7371295242283,22.5607737189466,23.2840037102623,28.4935889762169,33.239147361424,32.4265852938696,3.80397532112175,4.82396626555771,3.84099115659129,4.29715203929563,3.77929312235637,4.0094359104519,2.9550243601448813,2.4920087267032818,4.253014608855873,2.502801187222369,3.8082375137841997,1.6532051758472202,3.2764705911070635,1.3772250322022006,10.579666666666666,0.07193283904680511,10.5638,0.05567494948358888,8.613406302852534,5.362228729335833,5.905535735420173,5.3049536761473,7.495725252553224,0.1893556425444101,7.025979543884866,0.6679090925468197,21.332878773299335,1.0505086890593507,21.7594038042273,1.6516041750593102,3.4189533670620604,0.22477472867646123,3.4708628671054123,0.17410975616244498,18.665922579230237,3.5234941820208414,20.42604870772202,3.469877386479369,30.09358515291487,2.7242727223735863,30.48516998307848,2.216991316612329,5.496107687528919,2.1100801623380647,4.834061075153867,1.7458643604361765,3.960768052313503,0.29161974628727644,3.980235195568862,0.20792211603641753,3.824894583141746,-2.2549622214112004,2.6776098315984598,3.22818911165602,0.051000000000000156,0.11299999999999955,0.9673042527069011,10.150963238251551,0.3056058327371005,1.2218207750422607,1.163167756716998,-2.905487416423501,-0.38932125032514,-0.38932125032514,-2.0372650297125006,-7.5841392157465,0.0544301448868012,-3.8785661727659004,4.05640615478555,4.01939031931601,-0.49129304400712037,-0.20357691516339038,0,0,0,3.9153437153961397,1,0.46682922274237426
2004-01-01,4.68260325152944,2.8418113124898,10.652,11.3089899806632,7.73890770780445,24.5311495689792,0.968061082406635,16.6826952635217,29.464591457087,7.92293661199932,3.76725173477515,0,3.94503776051116,0.120143177369414,4.79989214255407,5.70700931874738,3.02939948714892,2.6883037354563,10.644,10.593,10.502,12.1803238824978,11.2130196297909,2.4468753962689,7.71309551906274,7.40748968632564,7.36659055227129,21.4093789298114,20.2462111730944,22.3430462169922,3.1594058668453,3.54872711717044,3.54872711717044,15.6998644945158,17.7371295242283,22.5607737189466,28.5480191211037,28.4935889762169,33.239147361424,7.8603814759073,3.80397532112175,4.82396626555771,3.80585899528851,4.29715203929563,3.77929312235637,2.9159280631366715,2.4491448628038994,3.949535262777289,2.290706819005034,3.8594067061287,1.6028174853783306,3.349068812186752,1.3335408882131634,10.629666666666667,0.03200520790955278,10.584399999999999,0.06677799038605606,11.567444497650634,0.5329337973328471,7.835713906693411,5.125885171726492,7.619830971064277,0.1843452824870871,7.343471641896921,0.5059307856740612,22.062246557295,2.2158184421098124,22.56893044702242,1.8499462342627144,2.558731355474125,1.3912464545162857,2.954729660152651,1.1233035346935696,16.706563094088597,1.0188422131636807,19.19289334229494,3.4893192564743676,28.8353998514692,0.5455751255355131,30.43438644194024,2.24171356699605,6.529097803009456,2.3602325504556187,5.6504501662354745,2.0865448676549,3.9567542564530966,0.2954244709975312,3.931798360433512,0.22677360030467972,0.7375654910182803,-0.11728889102462947,-2.8651980062575797,0.15350757703349993,0.007999999999999119,0.14999999999999858,-0.8713339018345998,8.862114584394302,0.02581218874170954,0.37231715553316036,3.1217706391677993,2.1881033519869995,-2.191344784438665,-2.580666034763805,0.9828307690059006,-5.878078455424898,0.9165723359833002,-3.774555904337003,0.06255513609202001,3.09897034644161,-0.03860726051336005,-0.012041387581219976,0,0,0,3.2403333604698794,0,0.3856685458660877
2005-01-01,3.47918104829496,6.83633265892877,10.59,14.9051013655231,6.70143423450661,26.4511581033301,4.6931124473798,14.5836867929394,29.4792606869219,7.92343062148318,4.24634362031922,0,4.68260325152944,3.94503776051116,0.120143177369414,2.8418113124898,5.70700931874738,3.02939948714892,10.652,10.644,10.593,11.3089899806632,12.1803238824978,11.2130196297909,7.73890770780445,7.71309551906274,7.40748968632564,24.5311495689792,21.4093789298114,20.2462111730944,0.968061082406635,3.1594058668453,3.54872711717044,16.6826952635217,15.6998644945158,17.7371295242283,29.464591457087,28.5480191211037,28.4935889762169,7.92293661199932,7.8603814759073,3.80397532112175,3.76725173477515,3.80585899528851,4.29715203929563,4.035607353445187,0.6068017700885573,3.4053714760518092,1.9147729254138834,5.128384430055316,2.059163730291882,4.220571302554234,1.918294734307352,10.628666666666666,0.033724372986516996,10.5962,0.05983477249894293,12.798138409561368,1.875973178237849,10.41086205094878,4.69585871234752,7.384479153791266,0.5916750278593313,7.385503539994145,0.41862958478261453,24.1305622007069,2.544648696450302,22.99618879844146,2.4899726502316204,2.9401931322105788,1.8721758959007122,3.1836067261945233,1.3651429873281244,15.655415516992301,1.050209942628679,17.45282995883036,3.085040257993899,29.163957088370864,0.5334683507172203,29.844921520550702,1.9562197818971807,7.9022495697965995,0.036259674237198426,6.466938059213852,1.9983564361996466,3.9398181167942936,0.26615980796223565,3.979179902406976,0.26804437222472194,-1.2034222032344801,3.359037870925546,3.9945213464389697,3.80693317177985,-0.06199999999999939,-0.0030000000000001137,3.596111384859899,3.6920817357322004,-1.0374734732978403,-0.7060554518190303,1.9200085343509024,6.2049469302357,3.725051364973165,1.14438533020936,-2.0990084705823016,-3.1534427312889015,0.014669229834900932,0.9856717107050024,0.0004940094838605802,4.11945530036143,0.47909188554407045,-0.050808418976409975,0,0,0,4.44424957318822,0,0.509511676666981
