,unemployment_roll3_mean,gdp_growth_roll3_std,consumption_growth_roll3_mean,india_gdp_growth_roll3_std,imports_pct_gdp_lag1,unemployment_lag1,unemployment_lag2,gdp_growth_chg3,imports_pct_gdp_roll3_mean,gdp_growth_roll3_mean,forex_reserves_months_roll3_std,gross_investment_gdp_lag2,consumption_growth_lag1,india_nepal_gdp_gap,imports_pct_gdp_lag2,gdp_growth_chg1,consumption_growth_lag2,gross_investment_gdp_lag3,gross_investment_gdp_lag1,forex_rapid_decline,india_gdp_growth_lag3,forex_reserves_months_lag3,gross_investment_gdp_chg1,imports_pct_gdp_chg1,stress_index,imports_pct_gdp_roll3_std,remittances_pct_gdp_lag1,distress
1996-01-01,10.446,0.0,3.54872711717044,0.0,34.5173594159918,10.446,10.446,0.0,35.07877648879885,6.19999998192236,0.2914821954081635,25.1994981179423,3.54872711717044,-2.3590088253310704,34.5173594159918,0.0,3.54872711717044,25.1994981179423,25.1994981179423,0,3.84099115659129,4.66944397920879,2.0055896034703977,1.1228341456140996,0.426549964819706,0.7939636385115306,1.29110017723861,0
1997-01-01,10.468,0.0,3.54872711717044,0.0,35.6401935616059,10.446,10.446,0.0,35.9550842663321,6.19999998192236,0.2791342757796603,25.1994981179423,3.54872711717044,-2.3590088253310704,34.5173594159918,0.0,3.54872711717044,25.1994981179423,27.2050877214127,0,3.84099115659129,4.66944397920879,-1.864372674338199,2.067506259792701,0.4323967871770954,1.6183124211767703,0.976652460897553,0
1998-01-01,10.494666666666664,0.0,3.54872711717044,0.0,37.7076998213986,10.512,10.446,0.0,35.745147816771635,6.19999998192236,1.3709927731663498,27.2050877214127,3.54872711717044,-2.3590088253310704,35.6401935616059,0.0,3.54872711717044,25.1994981179423,25.3407150470745,0,3.84099115659129,4.66944397920879,-0.5013459367353015,-3.820149754088199,0.3882111285748744,1.9122362779408488,1.00551241513623,0
1999-01-01,10.529,0.0,3.54872711717044,0.0,33.8875500673104,10.526,10.512,0.0,33.7712530171624,6.19999998192236,1.300505834963796,25.3407150470745,3.54872711717044,-2.3590088253310704,37.7076998213986,0.0,3.54872711717044,27.2050877214127,24.8393691103392,0,3.84099115659129,4.25722590527228,-4.355852755335597,-4.169040904532199,0.3960194763854288,3.995864812259257,1.39006090699173,0
2000-01-01,10.535333333333334,0.0,3.54872711717044,0.0,29.7185091627782,10.549,10.526,0.0,32.01088150798606,6.19999998192236,0.2222925488516892,24.8393691103392,3.54872711717044,-2.3590088253310704,33.8875500673104,0.0,3.54872711717044,25.3407150470745,20.4835163550036,0,3.84099115659129,4.13729042628426,3.831349991231299,2.708076131091399,0.387503328277811,2.115380047205253,1.65809912429702,0
2001-01-01,10.527333333333331,0.8083526379537878,3.54872711717044,0.5675209437684642,32.4265852938696,10.531,10.549,-1.4001078393682906,31.7947472726906,5.733297368799597,0.6269282036557927,20.4835163550036,3.54872711717044,0.0240741230036398,29.7185091627782,-1.4001078393682906,3.54872711717044,24.8393691103392,24.3148663462349,0,3.84099115659129,6.56961462358199,-1.971820129242701,0.8125620675544027,0.4103557171576519,1.8434038611211996,2.02936064424625,0
2002-01-01,10.542,3.183944385582034,3.54872711717044,0.5785026308863274,33.239147361424,10.502,10.531,-6.079856804552946,31.38644054383683,3.7066784339486154,0.5175745234333217,24.3148663462349,3.54872711717044,3.683832143752336,32.4265852938696,-4.679748965184656,3.54872711717044,20.4835163550036,22.3430462169922,0,3.84099115659129,6.15144721774418,-2.096835043897798,-4.745558385207104,0.5134364098617537,2.53801239607255,2.4468753962689,1
2003-01-01,10.579666666666666,2.4920087267032818,3.4189533670620604,2.1100801623380647,28.4935889762169,10.593,10.502,-2.2549622214112004,30.09358515291487,2.9550243601448813,0.1893556425444101,22.3430462169922,3.54872711717044,3.91534371539614,33.239147361424,3.824894583141746,3.54872711717044,24.3148663462349,20.2462111730944,0,3.84099115659129,6.49127474402048,1.163167756716998,0.0544301448868012,0.4668292227423742,2.7242727223735863,11.2130196297909,0
2004-01-01,10.629666666666669,2.4491448628038994,2.558731355474125,2.3602325504556187,28.5480191211037,10.644,10.593,-0.1172888910246294,28.8353998514692,2.9159280631366715,0.1843452824870871,20.2462111730944,3.1594058668453,3.2403333604698794,28.4935889762169,0.7375654910182803,3.54872711717044,22.3430462169922,21.4093789298114,0,4.82396626555771,7.36659055227129,3.1217706391677997,0.9165723359833002,0.3856685458660877,0.5455751255355131,12.1803238824978,0
2005-01-01,10.628666666666666,0.6068017700885573,2.9401931322105788,0.0362596742371984,29.464591457087,10.652,10.644,3.359037870925546,29.163957088370864,4.035607353445187,0.5916750278593313,21.4093789298114,0.968061082406635,4.44424957318822,28.5480191211037,-1.20342220323448,3.1594058668453,20.2462111730944,24.5311495689792,0,3.80397532112175,7.40748968632564,1.9200085343509024,0.0146692298349009,0.509511676666981,0.5334683507172203,11.3089899806632,0
