,unemployment_roll3_mean,gdp_growth_roll3_std,consumption_growth_roll3_mean,forex_rapid_decline,remittances_pct_gdp_lag1,distress
1996-01-01,10.446,0.0,3.54872711717044,0,1.29110017723861,0
1997-01-01,10.468,0.0,3.54872711717044,0,0.976652460897553,0
1998-01-01,10.494666666666664,0.0,3.54872711717044,0,1.00551241513623,0
1999-01-01,10.529,0.0,3.54872711717044,0,1.39006090699173,0
2000-01-01,10.535333333333334,0.0,3.54872711717044,0,1.65809912429702,0
2001-01-01,10.527333333333331,0.8083526379537878,3.54872711717044,0,2.02936064424625,0
2002-01-01,10.542,3.183944385582034,3.54872711717044,0,2.4468753962689,1
2003-01-01,10.579666666666666,2.4920087267032818,3.4189533670620604,0,11.2130196297909,0
2004-01-01,10.629666666666669,2.4491448628038994,2.558731355474125,0,12.1803238824978,0
2005-01-01,10.628666666666666,0.6068017700885573,2.9401931322105788,0,11.3089899806632,0
2006-01-01,10.617,0.7301191727543365,3.6878740011090088,0,14.9051013655231,0
2007-01-01,10.613666666666669,0.0575932257770467,4.4202467832639565,0,16.0689646788639,0
2008-01-01,10.616,1.568577442463488,3.27990667930224,0,16.7918134796819,0
2009-01-01,10.607,1.3527921459167709,3.3692865734364035,0,21.7381039679629,0
2010-01-01,10.580666666666668,0.8376160367206182,4.39168606290574,0,23.2076254422303,0
2011-01-01,10.590666666666667,0.737125730340613,4.158376971281328,0,21.6469852746313,0
2012-01-01,10.607333333333337,0.7664482250149375,3.279923429334941,0,19.5463008559418,0
2013-01-01,10.641666666666666,0.6928221465889742,2.0852057197209874,0,22.0821265457679,0
2014-01-01,10.639333333333331,1.244456369748962,2.90905892679622,0,25.1947048897919,0
2015-01-01,10.643,1.324645844017054,2.7582177233439467,0,25.9051136185799,1
2016-01-01,10.659,2.8229298102824107,3.2607611151416136,0,27.6260850017638,1
2017-01-01,10.672333333333334,4.292773956616275,2.508644759811496,0,26.9605652689538,0
2018-01-01,10.655666666666669,4.592095071814658,3.704355898919509,0,23.9135443394186,0
2019-01-01,10.576666666666668,1.165550362751928,5.0322352281335165,0,25.0264204285432,0
2020-01-01,11.369,5.511393099983846,5.968463666898721,0,24.1163701264819,1
2021-01-01,11.918333333333337,4.773909141528342,6.567503538456907,1,24.2502461023191,1
2022-01-01,11.979666666666668,4.408250339955501,6.131384181874284,0,22.2775786274327,1
2023-01-01,11.113,1.9190736878227364,5.171850580257859,0,22.8532966744987,1
2024-01-01,10.532666666666666,1.8823778998141696,2.872927429289753,0,26.2241089254704,0
2025-01-01,10.467333333333332,1.51695986759418,0.9526116416619526,0,26.2254579224946,0
