,gdp_growth,inflation,unemployment,remittances_pct_gdp,forex_reserves_months,gross_investment_gdp,consumption_growth,exports_pct_gdp,imports_pct_gdp,india_gdp_growth,india_inflation,distress
1980-01-01,,1.4979366016325,7.79642283390921,14.6845027763768,11.5412625387034,18.2861559798791,18.731533070598,-2.31939420500922,10.465,11.3460734795095,6.7358215288198,0
1981-01-01,,1.4979366016325,6.84355505968775,11.1448567278444,12.9014543003732,17.6072070722321,19.6176813243321,8.34197413529236,10.465,13.112546897642,6.00620362601497,0
1982-01-01,,1.4979366016325,6.52221156219874,11.6985465924139,11.5915841381589,17.1485737614192,18.8072797549317,3.7793746536255,10.465,7.89074279377487,3.47573323969961,0
1983-01-01,,1.4979366016325,4.10419507187943,12.3772380782712,10.231042950237,19.6327005331754,21.3151667654028,-2.97740585726358,10.465,11.8680812986734,7.28889290305703,0
1984-01-01,,1.4979366016325,3.04161062250306,2.84578495716266,10.6524501037625,18.6620976592,19.4490997081541,9.68113001572144,10.465,8.3189071186008,3.82073785610604,0
1985-01-01,,1.4979366016325,2.24541813501377,8.0526412661963,11.5292143562444,22.5561327437428,19.9995711157859,6.14490523732366,10.465,5.55642423236554,5.25429922311382,0
1986-01-01,,1.4979366016325,3.16100932866269,18.9989495502395,11.6622999066829,20.2641590697007,20.3027420859953,4.56565054565317,10.465,8.72972072702581,4.77656416847516,0
1987-01-01,,1.4979366016325,4.63940297476341,10.750328044985,11.8132750845547,21.1887761493173,20.9066140548666,1.69561826572762,10.465,8.80112581251833,3.96535563481719,0
1988-01-01,,1.4979366016325,4.08844394928219,8.98300338208989,11.4471692715783,22.2921488570463,22.381868774868,7.6968087109188,10.465,9.38347186185335,9.62778291607844,0
1989-01-01,,1.4979366016325,4.50793368709871,8.84688691232552,11.0676046555915,21.5069060928206,22.2833234381476,4.32964793285106,10.465,7.07428002942301,5.94734333181324,0
1990-01-01,,1.4979366016325,5.02784885435735,8.23970037453206,10.5273091204456,18.1258219231067,21.6614450375184,4.63503634698831,10.465,8.9712325027325,5.53345456125301,0
1991-01-01,,1.4979366016325,5.6547910156423,15.5574529276949,11.4907512863386,20.2534712966777,23.1843038424568,6.3681503973968,10.465,13.8702461773683,1.05683143496063,0
1992-01-01,,1.4979366016325,6.2586965278257,17.1495236243439,15.9597261292976,20.7046617738733,25.735687007905,4.10640661731669,10.473,11.7878170418134,5.48239602040357,0
1993-01-01,,1.4979366016325,7.40549587584807,7.50539419087105,18.4329641055999,22.5708951400827,28.7566170694778,3.84985002629573,10.492,6.32689048779867,4.75077621776924,0
1994-01-01,,1.23238960951363,6.07250842712725,8.34928672883384,18.9939379340801,22.4035489180617,31.438134810711,8.21600269296587,10.458,10.2479355556119,6.65892407028434,0
1995-01-01,,1.29110017723861,4.66944397920879,7.62296950698163,24.9731589825482,25.1994981179423,34.5173594159918,3.46845189309603,10.473,10.2248861637544,7.57449183788519,0
1996-01-01,,0.976652460897553,4.25722590527228,9.22046662376986,22.8175751366943,27.2050877214127,35.6401935616059,5.32828417508708,10.446,8.97715233826453,7.54952224920051,0
1997-01-01,,1.00551241513623,4.13729042628426,4.00998860523181,26.3278350735973,25.3407150470745,37.7076998213986,5.04861254517328,10.512,7.16425211462724,4.04982084998183,0
1998-01-01,,1.39006090699173,6.56961462358199,11.2444677818614,22.8220512223903,24.8393691103392,33.8875500673104,3.01638947539399,10.526,13.2308389767977,6.18441582172117,0
1999-01-01,,1.65809912429702,6.15144721774418,7.45111260957546,22.8484720906571,20.4835163550036,29.7185091627782,4.41257328041399,10.549,4.66982038037594,8.84575555939531,0
2000-01-01,6.19999998192236,2.02936064424625,6.49127474402048,2.47882020709136,23.2840037102623,24.3148663462349,32.4265852938696,6.19999998192236,10.531,4.0094359104519,3.84099115659129,0
2001-01-01,4.79989214255407,2.4468753962689,7.36659055227129,2.6883037354563,22.5607737189466,22.3430462169922,33.239147361424,4.79989214255407,10.502,3.77929312235637,4.82396626555771,0
2002-01-01,0.120143177369414,11.2130196297909,7.40748968632564,3.02939948714892,17.7371295242283,20.2462111730944,28.4935889762169,0.120143177369414,10.593,4.29715203929563,3.80397532112175,1
2003-01-01,3.94503776051116,12.1803238824978,7.71309551906274,5.70700931874738,15.6998644945158,21.4093789298114,28.5480191211037,3.94503776051116,10.644,3.80585899528851,7.8603814759073,0
2004-01-01,4.68260325152944,11.3089899806632,7.73890770780445,2.8418113124898,16.6826952635217,24.5311495689792,29.464591457087,4.68260325152944,10.652,3.76725173477515,7.92293661199932,0
2005-01-01,3.47918104829496,14.9051013655231,6.70143423450661,6.83633265892877,14.5836867929394,26.4511581033301,29.4792606869219,3.47918104829496,10.59,4.24634362031922,7.92343062148318,0
2006-01-01,3.36461478056277,16.0689646788639,7.66549847116562,6.92033580707589,13.4465909577363,26.8519028137059,31.3153967991879,3.36461478056277,10.609,5.79652337561634,8.06073257166651,0
2007-01-01,3.41156027980276,16.7918134796819,6.45735169197997,2.26921924439074,12.8556648764061,28.6852507532697,31.7236101436193,3.41156027980276,10.642,6.37288135593231,7.6608150670107,0
2008-01-01,6.10463914373472,21.7381039679629,6.61958299342483,9.9078300530648,12.7758202580003,30.3156469991099,33.260386093191,6.10463914373472,10.597,8.34926704907581,3.08669805921981,0
2009-01-01,4.5330787246486,23.2076254422303,6.56536255889742,11.0948237386987,12.4193541858921,31.6743770945651,34.6600935774766,4.5330787246486,10.582,10.8823529411764,7.86188883286074,0
2010-01-01,4.81641464694573,21.6469852746313,6.01052214363674,9.32650410745395,9.58253617198229,38.271206448162,36.4023696022884,4.81641464694573,10.563,11.9893899204244,8.49758470221235,0
